id,question,answer
1,Как откалибровать датчик ПД-Эко v2?,"Нужно выполнить процедуру «нулевой отсечки» через сервисное меню прибора."
2,Какой протокол связи используется в датчике ПД-Эко v2?,"Датчик работает по цифровому протоколу Modbus-RTU."
3,Какова точность измерений датчика ПД-Эко v2?,"Погрешность не превышает 0.1 % при нормальных условиях."
4,Какова грузоподъёмность манипулятора Аист-9?,"До 12.4 кг в стандартной конфигурации и до 15 кг при усиленных приводах."
5,С каким протоколом работает манипулятор Аист-9?,"Управление осуществляется по промышленному протоколу EtherCAT."
6,Какова точность позиционирования манипулятора Аист-9?,"Точность достигает 0.05 мм благодаря датчикам обратной связи."
7,Какой диапазон рабочих температур у контроллера КТ-400?,"От -20 до +60 °C."
8,Поддерживает ли контроллер КТ-400 резервирование?,"Да, в контроллер встроена функция горячего резервирования."
9,Какова энергоэффективность нейрочипа Q-Neuro-Δ?,"До 35 Гфлопс на ватт потребляемой мощности."
10,Что делать при перегреве нейрочипа Q-Neuro-Δ?,"Включить активное охлаждение, если температура превышает 60 °C."
11,Какие модели поддерживает система технического зрения Визор-X?,"YOLOv8 и Vision Transformer."
12,Как повысить точность распознавания в системе Визор-X?,"Провести калибровку по эталонной сетке и улучшить освещение."
13,Каково усилие линейного привода LP-12?,"До 300 ньютонов при ходe штока 120 мм."
14,Какое напряжение требуется для LP-12?,"От 24 до 48 В постоянного тока."
15,Сколько устройств можно подключить в сеть Modbus-RTU?,"До 247 устройств на одну линию связи."